stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
4672202,,Goesenweg,,,,,4672201P,,,51.996897,7.550023
4673102,,Alhardstraße,,,,,4673101P,,,51.995114,7.54829
4674201,,Sprakel Bahnhof,,,,,4674201P,,,52.041305,7.619481
4674202,,Sprakel Bahnhof,,,,,4674201P,,,52.041604,7.619719
4675001,,Sprakel Nienberger Str.,,,,,4675001P,,,52.041203,7.613071
4675002,,Sprakel Nienberger Str.,,,,,4675001P,,,52.040357,7.613797
4676501,,Sprakel Mitte,,,,,4676501P,,,52.036573,7.619918
4676502,,Sprakel Mitte,,,,,4676501P,,,52.036895,7.619748
4677502,,Abzweig Sprakel,,,,,4677501P,,,52.031436,7.620193
4678101,,Schlusenweg,,,,,4678101P,,,52.033518,7.619954
4678102,,Schlusenweg,,,,,4678101P,,,52.033552,7.619778
4679101,,Ashölterweg,,,,,4679101P,,,52.026886,7.618569
4679102,,Ashölterweg,,,,,4679101P,,,52.026603,7.618185
4680101,,Am Knapp,,,,,4680101P,,,52.007862,7.615019
4680102,,Am Knapp,,,,,4680101P,,,52.007887,7.614843
4681101,,Am Max-Klemens-Kanal,,,,,4681101P,,,52.003789,7.614853
4681102,,Am Max-Klemens-Kanal,,,,,4681101P,,,52.003769,7.614679
4682101,,Vorländerweg,,,,,4682102P,,,51.939252,7.591131
4682102,,Vorländerweg,,,,,4682102P,,,51.939238,7.591509
4684101,,Mecklenbecker Str. A,,,,,4684102P,,,51.934795,7.580016
4684102,,Mecklenbecker Str. B,,,,,4684102P,,,51.934437,7.579431
4684103,,Mecklenbecker Str. C,,,,,4684102P,,,51.933814,7.579146
4684104,,Mecklenbecker Str. D,,,,,4684102P,,,51.933753,7.579336
4684501,,St.-Anna-Kirche A,,,,,4684502P,,,51.930971,7.579642
4684502,,St.-Anna-Kirche B,,,,,4684502P,,,51.930831,7.579225
4684503,,St.-Anna-Kirche C,,,,,4684502P,,,51.930757,7.580551
4684504,,St.-Anna-Kirche D,,,,,4684502P,,,51.930464,7.580909
4685101,,Altenroxeler Str.,,,,,4685102P,,,51.941321,7.571157
4685102,,Altenroxeler Str.,,,,,4685102P,,,51.941266,7.571057
4686101,,Hohenfeld,,,,,4686102P,,,51.947682,7.561326
4686102,,Hohenfeld,,,,,4686102P,,,51.947759,7.561033
4687101,,Am Rohrbusch,,,,,4687102P,,,51.950263,7.557069
4687102,,Am Rohrbusch,,,,,4687102P,,,51.950242,7.556823
4688101,,Schelmenstiege,,,,,4688102P,,,51.955088,7.54228
4688102,,Schelmenstiege,,,,,4688102P,,,51.95521,7.541286
4689101,,Roxel Mitte,,,,,4689102P,,,51.954862,7.537137
4689102,,Roxel Mitte,,,,,4689102P,,,51.954565,7.536376
4690101,,Dorffeldstr.,,,,,4690102P,,,51.951256,7.537036
4690102,,Dorffeldstr.,,,,,4690102P,,,51.951661,7.537009
4691101,,Paul-Gerhardt-Str.,,,,,4691102P,,,51.949249,7.5346
4691102,,Paul-Gerhardt-Str.,,,,,4691102P,,,51.949183,7.535082
4691901,,Sessendrupweg,,,,,4691901P,,,51.999078,7.552719
4692101,,Nienberge Sporthalle,,,,,4692101P,,,51.999831,7.550307
4692102,,Nienberge Sporthalle,,,,,4692101P,,,51.999713,7.550209
4693001,,Hannaschweg,,,,,4693001P,,,52.003505,7.542149
4693101,,Feldstiege,,,,,4693101P,,,52.001606,7.545589
4693102,,Feldstiege,,,,,4693101P,,,52.001532,7.545432
4694101,,Von-Schonebeck-Ring B,,,,,4694101P,,,51.997703,7.554161
