route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6,2,2_100080_5_6_10,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100080_6_6_10,Coerde,,,,6_307_1,,
6,2,2_100080_8_6_10,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100080_9_6_10,Coerde,,,,6_307_1,,
6,2,2_100080_11_6_10,Hiltrup Bahnhof,,,,6_308_1,,
6,2,2_100080_12_6_10,Coerde,,,,6_307_1,,
6,2,2_100080_14_6_10,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100080_15_6_10,Coerde,,,,6_307_1,,
6,2,2_100080_17_6_10,Hiltrup Bahnhof,,,,6_304_1,,
1,2,2_100081_2_1_16,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100081_3_1_16,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100081_4_1_16,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100081_5_1_16,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100081_6_1_16,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100081_7_1_16,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100081_8_1_16,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100081_9_1_16,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100081_10_1_16,Roxel Hallenbad,,,,1_11_1,,
4,2,2_100082_2_4_50,Clemenshospital,,,,4_4_1,,
11,2,2_100083_2_11_2,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100083_3_11_2,Tannenhof,,,,11_6_1,,
11,2,2_100083_4_11_2,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100083_5_11_2,Tannenhof,,,,11_6_1,,
11,2,2_100083_6_11_2,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100083_7_11_2,Tannenhof,,,,11_6_1,,
11,2,2_100083_8_11_2,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100083_9_11_2,Tannenhof,,,,11_6_1,,
11,2,2_100083_10_11_2,Gievenbeck Dieckmannstr.,,,,11_3_1,,
11,2,2_100083_11_11_2,Tannenhof,,,,11_6_1,,
11,2,2_100083_12_11_2,Gievenbeck Dieckmannstr.,,,,11_3_1,,
9,2,2_100084_2_9_1,Hiltrup Franz-Marc-Weg,,,,9_4_1,,
9,2,2_100084_3_9_1,Von-Humboldt-Straße,,,,9_3_1,,
9,2,2_100084_4_9_1,Hiltrup Franz-Marc-Weg,,,,9_2_1,,
9,2,2_100084_5_9_1,Sprakel,,,,9_111_1,,
9,2,2_100084_6_9_1,Hiltrup Franz-Marc-Weg,,,,9_204_1,,
9,2,2_100084_7_9_1,Von-Humboldt-Straße,,,,9_3_1,,
9,2,2_100084_8_9_1,Hiltrup Franz-Marc-Weg,,,,9_2_1,,
105,2,2_100085_2_105_33,Cheruskerring,,,,105_4_1,,
1,2,2_100086_2_1_2,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100086_3_1_2,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100086_4_1_2,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100086_5_1_2,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100086_6_1_2,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100086_7_1_2,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100086_8_1_2,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100086_9_1_2,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100086_10_1_2,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100087_2_1_9,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100087_3_1_9,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100087_4_1_9,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100087_5_1_9,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100087_6_1_9,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100087_7_1_9,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100087_8_1_9,Amelsbüren Bahnhof,,,,1_24_1,,
1,2,2_100087_9_1_9,Roxel Hallenbad,,,,1_11_1,,
1,2,2_100087_10_1_9,Amelsbüren Bahnhof,,,,1_24_1,,
16,2,2_100088_2_16_2,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,2,2_100088_3_16_2,Kinderhaus Brüningheide,,,,16_1_1,,
16,2,2_100088_4_16_2,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,2,2_100088_5_16_2,Kinderhaus Brüningheide,,,,16_1_1,,
16,2,2_100088_6_16_2,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,2,2_100088_7_16_2,Kinderhaus Brüningheide,,,,16_1_1,,
16,2,2_100088_8_16_2,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,2,2_100088_9_16_2,Kinderhaus Brüningheide,,,,16_1_1,,
16,2,2_100088_10_16_2,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,2,2_100088_11_16_2,Kinderhaus Brüningheide,,,,16_1_1,,
16,2,2_100088_12_16_2,Mecklenbeck Meckmannweg,,,,16_2_1,,
16,2,2_100088_13_16_2,Kinderhaus Brüningheide,,,,16_1_1,,
110,2,2_100089_3_110_4,Friedensschule,,,,110_7_1,,
106,2,2_100090_2_106_19,Friedenspark / Arbeitsagentur,,,,106_6_1,,
106,2,2_100090_4_106_19,Friedenspark / Arbeitsagentur,,,,106_6_1,,
106,2,2_100090_6_106_19,Friedenspark / Arbeitsagentur,,,,106_6_1,,
106,2,2_100090_8_106_19,Friedenspark / Arbeitsagentur,,,,106_6_1,,
4,2,2_100090_10_4_19,Gelmer,,,,4_7_1,,
4,2,2_100090_11_4_19,Clemenshospital,,,,4_2_1,,
110,2,2_100091_2_110_6,Hauptbahnhof,,,,110_1_1,,
117,2,2_100091_4_117_6,Krögerweg,,,,117_2_1,,
17,2,2_100091_5_17_6,Kinderhaus Schulzentrum,,,,17_7_1,,
17,2,2_100091_7_17_6,Krögerweg,,,,17_8_1,,
17,2,2_100091_8_17_6,Kinderhaus Schulzentrum,,,,17_7_1,,
17,2,2_100091_10_17_6,Krögerweg,,,,17_8_1,,
17,2,2_100091_11_17_6,Kinderhaus Schulzentrum,,,,17_7_1,,
17,2,2_100091_13_17_6,Krögerweg,,,,17_8_1,,
17,2,2_100091_14_17_6,Kinderhaus Schulzentrum,,,,17_7_1,,
17,2,2_100091_16_17_6,Krögerweg,,,,17_8_1,,
17,2,2_100091_17_17_6,Kinderhaus Schulzentrum,,,,17_7_1,,
17,2,2_100091_19_17_6,Krögerweg,,,,17_8_1,,
17,2,2_100091_20_17_6,Kinderhaus Schulzentrum,,,,17_7_1,,
17,2,2_100091_22_17_6,Krögerweg,,,,17_8_1,,
17,2,2_100091_23_17_6,Kinderhaus Schulzentrum,,,,17_7_1,,
5,2,2_100092_2_5_7,Hiltrup Bahnhof,,,,5_8_1,,
5,2,2_100092_3_5_7,Nienberge Hannaschweg,,,,5_5_1,,
5,2,2_100092_4_5_7,Hiltrup Bahnhof,,,,5_8_1,,
5,2,2_100092_5_5_7,Nienberge Hannaschweg,,,,5_5_1,,
5,2,2_100092_6_5_7,Hiltrup Bahnhof,,,,5_8_1,,
5,2,2_100092_7_5_7,Nienberge Hannaschweg,,,,5_5_1,,
5,2,2_100092_8_5_7,Hiltrup Bahnhof,,,,5_8_1,,
5,2,2_100092_9_5_7,Nienberge Hannaschweg,,,,5_5_1,,
5,2,2_100092_10_5_7,Hiltrup Bahnhof,,,,5_8_1,,
110,2,2_100093_2_110_10,Friedensschule,,,,110_10_1,,
6,2,2_100094_2_6_5,Coerde,,,,6_307_1,,
6,2,2_100094_4_6_5,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100094_5_6_5,Coerde,,,,6_307_1,,
6,2,2_100094_7_6_5,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100094_8_6_5,Coerde,,,,6_307_1,,
6,2,2_100094_10_6_5,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100094_11_6_5,Coerde,,,,6_307_1,,
6,2,2_100094_13_6_5,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100094_14_6_5,Coerde,,,,6_307_1,,
6,2,2_100094_16_6_5,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100094_17_6_5,Coerde,,,,6_307_1,,
6,2,2_100095_2_6_17,Hauptbahnhof,,,,6_13_1,,
311,2,2_100095_3_311_17,Gymnasium St. Mauritz,,,,311_4_1,,
2,2,2_100095_5_2_17,Technologiepark,,,,2_12_1,,
2,2,2_100095_6_2_17,Handorf Kaserne,,,,2_7_1,,
2,2,2_100095_7_2_17,Technologiepark,,,,2_12_1,,
2,2,2_100095_8_2_17,Handorf Kaserne,,,,2_7_1,,
2,2,2_100095_9_2_17,Technologiepark,,,,2_12_1,,
2,2,2_100095_10_2_17,Handorf Kaserne,,,,2_7_1,,
2,2,2_100095_11_2_17,Technologiepark,,,,2_12_1,,
2,2,2_100095_12_2_17,Handorf Kaserne,,,,2_7_1,,
2,2,2_100095_13_2_17,Technologiepark,,,,2_12_1,,
2,2,2_100095_14_2_17,Handorf Kaserne,,,,2_7_1,,
11,2,2_100096_2_11_7,Hauptbahnhof,,,,11_12_1,,
15,2,2_100097_2_15_35,Hauptbahnhof,,,,15_3_1,,
16,2,2_100098_2_16_3,Kinderhaus Brüningheide,,,,16_3_1,,
15,2,2_100099_2_15_15,Albachten Bahnhof,,,,15_6_1,,
115,2,2_100099_3_115_15,Hauptbahnhof,,,,115_1_1,,
11,2,2_100100_2_11_33,Liboristraße,,,,11_8_1,,
110,2,2_100102_4_110_53,Handorfer Grundschulen,,,,110_6_1,,
110,2,2_100103_2_110_1,Hauptbahnhof,,,,110_11_1,,
106,2,2_100104_2_106_18,Friedenspark / Arbeitsagentur,,,,106_6_1,,
106,2,2_100104_4_106_18,Hiltrup Schulzentrum,,,,106_2_1,,
106,2,2_100105_2_106_9,Friedenspark / Arbeitsagentur,,,,106_6_1,,
106,2,2_100105_4_106_9,Friedenspark / Arbeitsagentur,,,,106_6_1,,
15,2,2_100106_2_15_1,Inselbogen,,,,15_12_1,,
15,2,2_100107_2_15_38,Nordplatz,,,,15_7_1,,
17,2,2_100108_2_17_5,Salzmannstraße,,,,17_9_1,,
110,2,2_100109_4_110_34,Andreas-Hofer-Straße,,,,110_108_1,,
106,2,2_100110_2_106_4,Münzstraße,,,,106_5_1,,
110,2,2_100111_2_110_5,Friedensschule,,,,110_9_1,,
6,2,2_100112_2_6_1,Coerde,,,,6_307_1,,
6,2,2_100112_4_6_1,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100112_5_6_1,Coerde,,,,6_307_1,,
6,2,2_100112_7_6_1,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100112_8_6_1,Coerde,,,,6_307_1,,
6,2,2_100112_10_6_1,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100112_11_6_1,Coerde,,,,6_307_1,,
6,2,2_100112_13_6_1,Hiltrup Bahnhof,,,,6_304_1,,
6,2,2_100112_14_6_1,Coerde,,,,6_307_1,,
6,2,2_100112_16_6_1,Hiltrup Bahnhof,,,,6_304_1,,
82,2,2_100112_18_82_1,Rudolf-Diesel-Straße,,,,82_811_1,,
